!! YAML file for Class AA verbs

gatáa+V+SINGULAR+IMPERATIVE: gatáa
: gatáaga                          gatáa+V+IMMEDIATE+PRESENT
: gatáa                            gatáa+V+INTERROGATIVE+SIMPLE+PRESENT
: gatáagang                        gatáa+V+SIMPLE+PRESENT
: gatáagan                         gatáa+V+DIRECT+PAST
: gatáagaa                         gatáa+V+INTERROGATIVE+PAST
: gatáagaan                        gatáa+V+INDIRECT+PAST
: gatáas                           gatáa+V+RELATIVE
: gatáagaas                        gatáa+V+RELATIVE+EVIDENTIAL
: gatáa.ang                        gatáa+V+NON_FACTIVE
: gatáagaa.ang                     gatáa+V+PAST+NON_FACTIVE
: gatáagang                        gatáa+V+INTERROGATIVE+PRESENT+HABITUAL
: gatáaganggang                    gatáa+V+PRESENT+HABITUAL
: gatáagangang                     gatáa+V+PRESENT+HABITUAL+NON_FACTIVE
: gatáagiinii                      gatáa+V+DIRECT+PAST+HABITUAL
: gatáagaangaa                     gatáa+V+INTERROGATIVE+PAST+HABITUAL
: gatáagaangaan                    gatáa+V+INDIRECT+PAST+HABITUAL
: gatáaäsaa                        gatáa+V+INTERROGATIVE+FUTURE+LONG
: gatáaäs                          gatáa+V+INTERROGATIVE+FUTURE+SHORT
: gatáaäsaang                      gatáa+V+SIMPLE+FUTURE
: gatáaäsga                        gatáa+V+IMMEDIATE+FUTURE
: gatáaäsaas                       gatáa+V+RELATIVE+FUTURE
: gatáaäsaa.ang                    gatáa+V+FUTURE+NON_FACTIVE
: gatáa.ang ñasa'áa                gatáa+V+INTERROGATIVE+NEAR+FUTURE
: gatáa.ang ñasa'áang              gatáa+V+NEAR+FUTURE
: gatáa.ang ñasaasdláa             gatáa+V+INTERROGATIVE+VERYNEAR+FUTURE
: gatáa.ang ñasaasdláang           gatáa+V+VERY+NEAR+FUTURE
: gatáa'uuj                        gatáa+V+BIASED+IMMEDIATE+PRESENT
: gatáa'uujang                     gatáa+V+BIASED+SIMPLE+PRESENT
: gatáaäsaa'uujang                 gatáa+V+RESIGNED_OBLIGATION
: gatáa'us                         gatáa+V+BIASED+INTERROGATIVE+PRESENT
: gatáa'ujaa                       gatáa+V+BIASED+INTERROGATIVE+PAST
: gatáa'uujaangaa                  gatáa+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: gatáaäsaa'us                     gatáa+V+BIASED+INTERROGATIVE+FUTURE
: gatáa'ahlanggang                 gatáa+V+CERTAIN+PRESENT
: gatáa'ahlanggan                  gatáa+V+CERTAIN+PAST
: gatáa'ahlanggiinii               gatáa+V+CERTAIN+PAST+HABITUAL
: gatáaäsaa'ahlans                 gatáa+V+CERTAIN+FUTURE
: gatáa'ahlans                     gatáa+V+CERTAIN+RELATIVE
: gatáagaa'ahlang                  gatáa+V+INTENSIVE+PAST
: gatáagaa'ahlanggaa               gatáa+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: gatáagaa'ahlanggang              gatáa+V+COUNTERFACTUAL+PRESENT
: gatáa'ahl                        gatáa+V+REFLEXIVE
: gatáaäseehl                      gatáa+V+FUTURE+REFLEXIVE+INTERROGATIVE
: gatáa'uu                         gatáa+V+PLURAL+IMPERATIVE
: gatáa'waa                        gatáa+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: gatáa'waa                        gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: gatáa'waang                      gatáa+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: gatáa'wägan                      gatáa+V+3rd_PERSON_PLURAL+DIRECT+PAST
: gatáa'aawaa                      gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: gatáa'aawaan                     gatáa+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: gatáa'waas                       gatáa+V+3rd_PERSON_PLURAL+RELATIVE
: gatáa'aawaas                     gatáa+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: gatáa'waa.ang                    gatáa+V+3rd_PERSON_PLURAL+NON_FACTIVE
: gatáa'aawaa.ang                  gatáa+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: gatáagang'waa                    gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: gatáagang'waang                  gatáa+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: gatáagang'waa.ang                gatáa+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: gatáa'wägiinii                   gatáa+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: gatáa'wägaangaa                  gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: gatáa'wägaangaan                 gatáa+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: gatáa'waaäsaa                    gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: gatáa'waaäs                      gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: gatáa'waaäsaang                  gatáa+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: gatáa'waaäsga                    gatáa+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: gatáa'waaäsaas                   gatáa+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: gatáa'waaäsaa.ang                gatáa+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: gatáa'waa.ang ñasa'áa            gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: gatáa'waa.ang ñasa'áang          gatáa+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: gatáa'waa.ang ñasaasdláa         gatáa+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: gatáa'waa.ang ñasaasdláang       gatáa+V+3rd_PERSON_PLURAL+VERY+NEAR+FUTURE
: gatáa'waa'uuj                    gatáa+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: gatáa'waa'uujang                 gatáa+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: gatáa'waaäsaa'uujang             gatáa+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: gatáa'waa'us                     gatáa+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: gatáa'waa'ujaa                   gatáa+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: gatáa'waa'uujaangaa              gatáa+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: gatáa'waaäsaa'us                 gatáa+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: gatáa'waa'ahlanggang             gatáa+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
